field,human,flag,free,category
ut,Title,1,yes,url-metrics
uu,URL,4,yes,url-metrics
ufq,Subdomain,8,no,url-metrics
upl,Root Domain,16,no,url-metrics
ueid,External Links,32,yes,url-metrics
feid,Subdomain External Links,64,no,url-metrics
peid,Root Domain External Links,128,no,url-metrics
ujid,Juice-Passing Links,256,no,url-metrics
uifq,Subdomains Linking,512,no,url-metrics
uipl,Root Domains Linking,1024,no,url-metrics
uid,Links,2048,yes,url-metrics
fid,Subdomain Subdomains Linking,4096,no,url-metrics
pid,Root Domain Root Domains Linking,8192,no,url-metrics
umrp,MozRank,16384,yes,url-metrics
fmrp,Subdomain MozRank,32768,yes,url-metrics
pmrp,Root Domain MozRank,65536,no,url-metrics
utrp,MozTrust,131072,no,url-metrics
ftrp,Subdomain MozTrust,262144,no,url-metrics
ptrp,Root Domain MozTrust,524288,no,url-metrics
uemrp,External MozRank,1048576,no,url-metrics
fejp,Subdomain External Domain Linking Juice,2097152,no,url-metrics
pejp,Root Domain External Domain juice,4194304,no,url-metrics
fjp,Subdomain Domain Juice,8388608,no,url-metrics
pjp,Root Domain Domain Juice,16777216,no,url-metrics
us,HTTP Status Code,536870912,yes,url-metrics
fuid,Links to Subdomain,4294967296,no,url-metrics
puid,Links to Root Domain,8589934592,no,url-metrics
fipl,Root Domains linking to Subdomain,17179869184,no,url-metrics
upa,Page Authority,34359738368,yes,url-metrics
pda,Domain Authority,68719476736,yes,url-metrics
luut,Target Page Title,1,yes,target-metrics
luuu,Target Page URL,4,yes,target-metrics
luufq,Target Page Subdomain,8,no,target-metrics
luupl,Target Page Root Domain,16,no,target-metrics
luueid,Target Page External Links,32,yes,target-metrics
lufeid,Target Page Subdomain External Links,64,no,target-metrics
lupeid,Target Page Root Domain External Links,128,no,target-metrics
luujid,Target Page Juice-Passing Links,256,no,target-metrics
luuifq,Target Page Subdomains Linking,512,no,target-metrics
luuipl,Target Page Root Domains Linking,1024,no,target-metrics
luuid,Target Page Links,2048,yes,target-metrics
lufid,Target Page Subdomain Subdomains Linking,4096,no,target-metrics
lupid,Target Page Root Domain Root Domains Linking,8192,no,target-metrics
luumrp,Target Page MozRank,16384,yes,target-metrics
lufmrp,Target Page Subdomain MozRank,32768,yes,target-metrics
lupmrp,Target Page Root Domain MozRank,65536,no,target-metrics
luutrp,Target Page MozTrust,131072,no,target-metrics
luftrp,Target Page Subdomain MozTrust,262144,no,target-metrics
luptrp,Target Page Root Domain MozTrust,524288,no,target-metrics
luuemrp,Target Page External MozRank,1048576,no,target-metrics
lufejp,Target Page Subdomain External Domain Linking Juice,2097152,no,target-metrics
lupejp,Target Page Root Domain External Domain juice,4194304,no,target-metrics
lufjp,Target Page Subdomain Domain Juice,8388608,no,target-metrics
lupjp,Target Page Root Domain Domain Juice,16777216,no,target-metrics
luus,Target Page HTTP Status Code,536870912,yes,target-metrics
lufuid,Target Page Links to Subdomain,4294967296,no,target-metrics
lupuid,Target Page Links to Root Domain,8589934592,no,target-metrics
lufipl,Target Page Root Domains linking to Subdomain,17179869184,no,target-metrics
luupa,Target Page Page Authority,34359738368,yes,target-metrics
